Title,Link,Company,Date
Java Developer (RPA and Machine Learning),https://rabota.by/vacancy/39873333?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,IBA Group,2020-12-03 00:00:00
Python developer,https://hh.ru/vacancy/40698626?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,GlowByte Consulting,2020-11-30 00:00:00
Senior Python Developer,https://rabota.by/vacancy/40989725?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Oxagile,2020-12-14 00:00:00
ETL-разработчик,https://hh.ru/vacancy/40209534?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,GlowByte Consulting,2020-12-03 00:00:00
Преподаватель по программированию,https://hh.ru/vacancy/40737490?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,IT школа Hello world,2020-12-01 00:00:00
Стажер-разработчик Python,https://rabota.by/vacancy/41058368?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Асдев,2020-12-17 00:00:00
Backend Node.js разработчик,https://rabota.by/vacancy/40986598?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО ГлобалИнвестМаркет,2020-12-14 00:00:00
C/C++ Developer (Junior+),https://rabota.by/vacancy/39944454?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Неро Электроникс,2020-12-15 00:00:00
Web-разработчик / Back-end разработчик,https://rabota.by/vacancy/41058861?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Веб Фокус,2020-12-17 00:00:00
Инженер-программист Python/Go,https://rabota.by/vacancy/40867553?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Белорусские облачные технологии,2020-12-08 00:00:00
Middle Deep Learning Engineer (Computer Vision),https://rabota.by/vacancy/41177109?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Oxagile,2020-12-28 00:00:00
Senior Deep Learning Engineer (Computer Vision),https://rabota.by/vacancy/41177160?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Oxagile,2020-12-28 00:00:00
Data scientist,https://rabota.by/vacancy/41127830?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,SoftSwiss,2020-12-23 00:00:00
Senior Data Engineer,https://rabota.by/vacancy/41182842?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Oxagile,2020-12-28 00:00:00
DevOps Engineer (GCP),https://rabota.by/vacancy/41183242?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Oxagile,2020-12-28 00:00:00
Senior DevOps Engineer,https://rabota.by/vacancy/41183082?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Tealium,2020-12-28 00:00:00
3D Animator,https://rabota.by/vacancy/40790849?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,"Wargaming, Minsk (Game Stream)",2020-12-28 00:00:00
Senior Data Base Engineer,https://rabota.by/vacancy/41126243?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,SoftSwiss,2020-12-23 00:00:00
QA Performance Engineer,https://rabota.by/vacancy/39335343?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,"Wargaming, Minsk (Game Stream)",2020-12-23 00:00:00
